//*   A párbeszéd-sorok egy "v2;30;" stílusú kóddal kezdődnek, amely megadja, ki beszél és mikor olvasható a párbeszéd. Kérjük, pontosan másold át ezt a kódot a fordításodba.
//*   A sor első fele (a / előtti rész) a falulakók eredeti nyelvén van, ezért úgy kell hagyni, a második felét kell lefordítani.
//v2;30;Patéras $targetlastname, Den eímai eirinikós, apó tóte pou ftásame edó, aisthánomai óti ypárchei káti diaforetikó. / $targetlastname atya, nem vagyok nyugodt, mióta ideérkeztünk, érzem, hogy valami más van.
//v1;60;Paidí, polloí apó emás aisthánontai óti ypárchei káti diaforetikó edó. / Gyermekem, sokan közülünk úgy érezzük, hogy itt valami más van.
//v2;90;Allá ti boró na káno? I zoí mou edó tha eínai gia pánta diaforetikí edó. / De mit tehetek? Az életem itt örökké más lesz.
//v1;120;To móno pou boroúme na kánoume eínai na prosefchómaste afoú o Theós échei éna schédio gia mas. / Csak imádkozhatunk, mert Istennek terve van velünk.

//newchat;key:ticlon,v1:notvtype:pastor_byzantine-patriarch_byzantine,v2:vtype:pastor_byzantine-patriarch_byzantine,weigth:1
//v1;0;Patéras $targetlastname, otan proséfchomai, eída kápoia períerga sýmvola../ $targetlastname atya, amikor imádkoztam, furcsa jeleket láttam.
//v2;30;Paidí, ti sou édeixe o Theós? / Gyermekem, mit mutatott neked Isten?
//v1;60;Patéra, ta sýmvola ítan "Tiklón". Xérate ti ennooún? / Atyám, a szimbólumok "Tiklón" voltak. Tudja, mit jelentenek?
//v2;90;O Theós doulévei me mystiriódi trópo / Az Úr útjai kifürkészhetetlenek.

//newchat;key:nobakery,building:farm,notbuilding:bakerybyzantine,v1:adult,v2:adult,weigth:15
//v1;0;Ach, poios den thélei frésko, nóstimo psomí apó to agróktima sitarioú? / Á, ki ne akarna friss, finom kenyeret a búzafarmról?
//v2;30;Xérete óti chreiazómaste éna artopoieío gia na metatrépsoume to sitári se psomí sostá? / Tudod, hogy pékségre van szükségünk a búzából kenyeret csinálni, ugye?
//v1;60;Prépei na me gelás. Tóra tha petháno. / Csak csúfolódhatsz velem. Most éhen halok.
//v2;90;Limoktonó? Símera to proí fágate to proinó mou! Tha eímai o peinasménos. / Éhen halsz? Ma reggel megetted a reggelimet! Én leszek az, aki éhen hal.
//v1;120;To chreiázomai perissótero apó eséna! / Több kell nekem, mint neked!
//v2;150;Den xéro giatí sas miláo! / Nem tudom, miért beszélek veled!
//v1;180;Chreiazómaste éna artopoieío, aftó eínai simantikó. / Pékségre van szükségünk, ez a fontos.


