//*  Dialoglinjer begynder med en kode som "v2;30;" der angiver, hvem der taler, og hvornår linjen vises. Kopier den nøjagtigt i din oversættelse.
//*  Første halvdel af linjen (frem til /) er på landsbyboernes oprindelige sprog og skal bevares som den er; anden halvdel skal oversættes.
//v1;0;Patéras $targetlastname, otan proséfchomai, eída kápoia períerga sýmvola../ Fader $targetlastname, da jeg bad, så jeg nogle mærkelige tegn.
//v2;30;Paidí, ti sou édeixe o Theós? / Mit barn, hvad viste Gud dig?
//v1;60;Patéra, ta sýmvola ítan "Tiklón". Xérate ti ennooún? / Fader, tegnene var "Tiklón". Ved du, hvad de betyder?
//v2;90;O Theós doulévei me mystiriódi trópo / Herrens veje er uransagelige.

//newchat;key:nobakery,building:farm,notbuilding:bakerybyzantine,v1:adult,v2:adult,weigth:15
//v1;0;Ach, poios den thélei frésko, nóstimo psomí apó to agróktima sitarioú? / Ah, hvem vil ikke have friskt, lækkert brød fra hvedegården?
//v2;30;Xérete óti chreiazómaste éna artopoieío gia na metatrépsoume to sitári se psomí sostá? / Ved du, at vi har brug for et bageri til at omdanne hveden til brød, ikke sandt?
//v1;60;Prépei na me gelás. Tóra tha petháno. / Du må gøre nar af mig. Nu sulter jeg.
//v2;90;Limoktonó? Símera to proí fágate to proinó mou! Tha eímai o peinasménos. / Sulter? I morges spiste du min morgenmad! Jeg bliver den, der sulter.
//v1;120;To chreiázomai perissótero apó eséna! / Jeg har mere brug for det end dig!
//v2;150;Den xéro giatí sas miláo! / Jeg ved ikke, hvorfor jeg taler med dig!
//v1;180;Chreiazómaste éna artopoieío, aftó eínai simantikó. / Vi har brug for et bageri, det er det vigtige.


